news_headline,news_article,news_category
"3,99,10,000-kg ship splits into two, spills oil off coast of Japan; pics surface","A Panamanian-registered ship ran aground in a northern Japan harbour, split in two and was leaking oil, but there were no injuries and the oil leak was being controlled, the Japan Coast Guard said. The 39,910-tonne (3,99,10,000-kg) vessel was carrying wood chips. It managed to free itself, but due to poor weather was unable to move far.",world
"Man illegally lands helicopter in Canada town centre to buy ice-cream cake, pic surfaces","A man illegally landed his helicopter and parked it in centre of a town called Tisdale in Canada to buy an ice-cream cake. Initially, residents thought the chopper, painted the same colour as the province’s air ambulances, was on the scene for a medical emergency. Police determined the 34-year-old pilot's journey to Dairy Queen wasn't ""an emergency"" and charged him. ",world
Pumpkin sculpture installed on Japanese island since 1994 damaged by typhoon,A giant black and yellow polka-dotted pumpkin by artist Yayoi Kusama which was installed on the Japanese island of Naoshima in 1994 has been damaged by a typhoon. Video showing the tourist attraction being tossed around was shared on social media. Experts are determining whether it is possible to reconstruct the sculpture.,world
Pakistan Navy left with only two submarines on active duty: Report,"The Pakistan Navy is left with only two submarines on active duty, Times Now exclusively reported. Three of the five Agosta class submarines that Pakistan has are either being upgraded or have defects, making them unfit for the sea, it added. Besides submarines, three major surface warships have varying difficulties, Times Now reported.",world
Russia's richest politician Igor Redkin kills man after mistaking him for a brown bear,Russia's richest politician Igor Redkin has admitted to killing a man he says he mistook for a brown bear. The 55-year-old said that he had heard there was a bear at the rubbish dump in the village of Ozernovsky in Kamchatka. Redkin has been placed under house arrest for two months while the investigation is under way.,world
Afghanistan govt offers Taliban power-sharing deal to end violence: Report,"Afghanistan government negotiators in Qatar have offered the Taliban a power-sharing deal in return for an end to fighting in the country, a government negotiating source told AFP on Thursday. ""Yes, the government has submitted a proposal to Qatar as mediator,"" AFP quoted the source as saying. Taliban has taken control of 10 provincial capitals so far. ",world
8 feared dead as helicopter crashes in volcanic crater lake in Russia,"Eight people were feared dead after a helicopter carrying 16 people, most of them tourists, crashed into a volcanic crater lake on the Kamchatka peninsula in Russia on Thursday. The aircraft reportedly sank after the crash and was lying at a depth of 100 meters in Lake Kuril. The eight other people on board the Mi-8 helicopter survived the crash.",world
Vietnamese man arrested for selling fake COVID-19 test certificates,"Vietnam police have arrested a businessman for making and selling fake negative COVID-19 test certificates. Tran Tuan Duong was arrested while selling six certificates to a client for one million dong ($43.86) on Wednesday, police said. The 34-year-old has confessed to selling around 150 such documents, they added. The arrest comes as the country battles its worst COVID-19 outbreak yet. ",world
New Zealand borders to remain closed this year: PM Ardern,"New Zealand PM Jacinda Ardern said that the country's borders will remain closed until at least the end of the year. ""We're simply not in a position to fully reopen...yet...rushing could see us in the situation many other countries are finding themselves in,"" Ardern added. The country would look to reopen in 2022 in a phased manner, she further said. ",world
"US, India, Brazil reported most number of COVID-19 cases last week: WHO","The World Health Organization (WHO) said the US, India, Iran, Brazil and Indonesia reported the most number of COVID-19 cases last week. While India, Brazil and Indonesia witnessed a decline in infections from the previous week, the US recorded a 35% increase in new infections. The Delta variant was reported from seven additional countries last week, the WHO report said.",world
Taliban seizes attack helicopter that India gifted to Afghanistan; video surfaces,"The Taliban has seized one of the four attack helicopters that India gifted to Afghanistan in 2019. A video and pictures posted on Twitter by Joseph Dempsey, a Research Associate at International Institute for Strategic Studies, showed Taliban militants standing next to the attack helicopter. The helicopters were given under a deal between Afghanistan and Belarus, but financed by India.",world
Pak blames India & Afghanistan for 'bus attack' that killed 9 Chinese,"Pakistan's Foreign Minister Shah Mahmood Qureshi has said the last month's bus attack that killed nine Chinese workers in Pakistan was a suicide bombing carried out by Islamist militants backed by Indian and Afghan intelligence agencies. He said there was a ""nexus of Indian RAW and Afghan NDS"" in the attack. Pakistan has evidence to back the allegation, he added.",world
Eliminate safe havens of Taliban along Pak-Afghan border: US to Pak,"In a phone call with Pakistan Army Chief General Qamar Javed Bajwa, US Defence Secretary Lloyd Austin said Islamabad should target safe hideouts of Taliban along the Pakistan-Afghanistan border. Pentagon spokesman John Kirby said that Austin believed safe shelters were the main cause behind Afghanistan's ongoing atrocities. Meanwhile, the Afghan government accused Pakistan of supporting Taliban.",world
Taliban won't talk peace until Ghani remains Afghan Prez: Pak PM,"Taliban leaders have said they'll not negotiate with Afghanistan government until Ashraf Ghani remains President, Pakistani PM Imran Khan said. He added that the Taliban had informed him about this when he ""tried to persuade"" them for peace during their visit to Pakistan. The comments came as Afghanistan accused Pakistan of providing a ""safe haven"" and logistical support to Taliban.",world
Tanzania suspends newspaper for story on President it calls 'false',"The Tanzanian government has suspended a local newspaper for running a ""false"" story, saying that President Samia Suluhu Hassan will not contest in the 2025 Presidential elections. President Hassan  hasn't made any such comments, chief spokesperson Gerson Msigwa said. The suspension would last for 14 days, and the newspaper, Uhuru, can file an appeal to the Information Minister, Msigwa added.",world
Rectify your wrong decision: China to Lithuania over Taiwan office row,"China has demanded that Lithuania recall its Beijing envoy after Lithuania allowed China-claimed Taiwan to open a diplomatic office in Vilnius under the name ""Taiwan"" instead of ""Taipei"". China asked Lithuania ""not to move further down the wrong path"" while asking it to ""rectify its wrong decision"". Lithuania, however, said it is determined to develop mutually beneficial relations with Taiwan.",world
Afghan forces arrest Ghazni Governor after Taliban captures the city,"Afghan security forces have arrested Ghazni Governor, Dawood Laghmani, and his deputy on Thursday, the Interior Ministry said. The arrest comes after a video reportedly showed Laghmani fleeing the Ghazni city once it fell to the Taliban. Ghazni provincial council member Amanullah Kamrani alleged that Laghmani and police chief made a deal with the Taliban to flee after their surrender.",world
Italy firefighters battle 500 blazes in last 24hrs after record heat,"Italian firefighters said on Thursday they had battled over 500 blazes in the past 12 hours as an anticyclone ""Lucifer"" is sweeping across the country. Meanwhile, in Sicily's Floridia, the temperature reached 48.8 degrees Celsius in the early afternoon, believed to be the highest temperature ever recorded in Europe. Four people have died due to wildfires over the past week.",world
"Flash floods kill 11 people in northern Turkey; 1,300 evacuated","Eleven people were killed in flash floods in Kastamonu in Turkey's Black Sea region that sent water and debris gushing through streets, authorities said on Thursday. More than 1,300 people were evacuated from the areas affected in the three provinces, the Disaster and Emergency Management Directorate said. The deluge also damaged power infrastructure, leaving over 320 villages without electricity.",world
"Show cause notice names Kerala CM in dollar smuggling case, Opp'n demands resignation","Kerala Opposition leaders today boycotted Assembly session after Speaker refused to discuss adjournment notice by Congress leader PT Thomas on the gold and dollar smuggling case. They also demanded CM Pinarayi Vijayan's resignation. An accused told Customs Vijayan allegedly took currency to UAE in 2017, and Customs have quoted her in show cause notice issued to the accused.",politics
Punjab Congress chief Navjot Singh Sidhu appoints four advisors,"Punjab Congress chief Navjot Singh Sidhu has appointed four advisors, including former IAS officer Dr Amar Singh and former IPS officer Mohammad Mustafa. Sidhu also appointed Pyare Lal Garg, a health activist, and political analyst Malwinder Singh Mali as his advisors. Sidhu took charge as the President of the Punjab Pradesh Congress Committee (PPCC) last month.",politics
"Mandaviya says govt asked Delhi for data on deaths due to oxygen shortage, shares proof","Health Minister Mansukh Mandaviya said Delhi was asked to share data on deaths due to oxygen shortage amid COVID-19, however, it hadn't done so. ""Here's the copy of...mail sent by my Ministry,"" he tweeted. This comes after Delhi Deputy CM Manish Sisodia alleged that Delhi government hadn't received any letter from Centre inquiring about deaths due to oxygen shortage.",politics
Official Twitter account of Congress locked; party shares screenshot,"The Congress took to Instagram to share a screenshot and wrote, ""The official Twitter account of Congress has been locked."" Earlier, Congress alleged that Twitter accounts of five senior party leaders, including Randeep Surjewala and Ajay Maken, have also been locked. On Wednesday, Twitter said it locked Rahul Gandhi's account after post revealing identity of Delhi rape victim's family.",politics
Our rules are enforced judiciously: Twitter on locking Congress' official account,"After official Twitter accounts of Congress and several of its party leaders were locked, Twitter said in a statement that its rules are ""enforced judiciously and impartially for everyone"". ""We've taken proactive action on several hundred tweets that posted an image that violated our rules, and may continue to do so,"" it added. Earlier, Twitter locked Rahul Gandhi's account.",politics
9 properties of Kashmiri Hindus given to original owners: Govt,"Nine properties of Kashmiri Hindu migrants, who were forced to leave Kashmir decades ago in wake of terrorist attacks, have been restored to their original owners, MoS (Home) Nityanand Rai said on Wednesday. He added that after the abrogation of Article 370 in August 2019, 520 migrants returned to Kashmir and took up jobs under the PM's scheme. ",politics
"Opp'n shedding crocodile tears, must apologise: Thakur on Parliament ruckus","Union Minister Anurag Thakur on Thursday criticised the Opposition for creating ruckus during Monsoon Session that forced Parliament to close two days early. ""Instead of shedding crocodile tears, [the Opposition] must apologise to the nation,"" Thakur said. ""Secretary General's table in Rajya Sabha is not meant for dancing and protesting,"" the Minister further added.",politics
MP Police lathicharge on Youth Cong workers marching to gherao CM's house,"Police on Wednesday lathicharged and used water cannons to disperse thousands of Youth Congress workers marching to gherao the Madhya Pradesh CM's Bhopal residence. The workers were protesting against inflation and unemployment and in support of the OBC reservation. National Youth Congress President Srinivas BV, state President Vikrant Bhuria and MLA Jaivardhan Singh, among others were detained.",politics
"CPI(M) leader held my neck, led to suffocation: Rajya Sabha marshal","Security Assistant Rakesh Negi, who was deployed as a marshal in Rajya Sabha, wrote to a senior official of Rajya Sabha Secretariat claiming that CPI(M) leader Elamaram Kareem held him by his neck during the uproar yesterday. ""[This] led to momentarily choking and suffocation,"" he wrote. He added that Opposition MPs tried to break the security cordon of marshals. ",politics
Never saw the way women MPs were attacked today in my 55-yr career: Pawar,"NCP's Sharad Pawar said, ""In my 55 years of parliamentary career, I never saw the way the women MPs were attacked today (in Rajya Sabha).""  He added, ""Over 40 men and women were brought into the House from outside."" Meanwhile, Leader of the House Piyush Goyal blamed the Opposition and said, ""Attempts were made to strangulate a woman security staff.""",politics
Cong leaders change Twitter names to Rahul amid locked accounts row ,"Several Congress leaders like Srinivas BV, Alka Lamba and Ali Mehdi changed their Twitter names to former party President Rahul Gandhi after his account was locked. They also uploaded Rahul's picture as their profile image. Separately, Rahul's sister and Congress leader Priyanka Gandhi Vadra used his image as her display picture. Earlier, Congress claimed its official Twitter account was locked. ",politics
Cong MP injured in ruckus in Parliament: Party's RS whip Chhaya Verma,"Congress MP and new Rajya Sabha whip Chhaya Verma on Thursday said the party's one MP was injured during a ruckus in the Upper House. ""[MPs] were manhandled. Ask Piyush Goyal what's the point of deploying so many marshals in the House. Why would I apologise?"" Verma said. Running Parliament proceedings is the government's responsibility, she added. ",politics
"RS members beaten, this is nothing short of murder of democracy: Rahul","Members of the Rajya Sabha were manhandled and physically beaten yesterday for the first time in the history of our country, Congress leader Rahul Gandhi said on Thursday. ""This was nothing short of murder of democracy,"" Gandhi added. ""We (Opposition) are not allowed to speak in the Parliament. This is a murder of democracy,"" Gandhi said earlier today.",politics
Opp'n threatened us over Bills: 8 Ministers on Rajya Sabha ruckus,"Eight Union Ministers on Thursday addressed the media over the ruckus in Rajya Sabha yesterday and claimed that the Opposition ""threatened"" the government to not introduce more legislation after the Constitution Amendment Bill was passed. They demanded that the Opposition should apologise for ""disruptive behaviour"". The Monsoon Session of Parliament was adjourned prematurely due to the uproar. ",politics
AIADMK leaders booked for violating COVID-19 rules near Velumani's house,The Tamil Nadu Police on Wednesday booked 10 AIADMK legislators and three ex-MLAs for flouting COVID-19 norms and assembling in front of the residence of former minister SP Velumani. The AIADMK leaders had gathered to protest a raid against Velumani by the Directorate of Vigilance and Anti-Corruption (DAVC) on Tuesday. They were booked in three separate cases.,politics
"Punjab CM meets PM, seeks immediate steps for repeal of farm laws","Punjab CM Captain Amarinder Singh met PM Narendra Modi in Delhi on Wednesday and urged him to take immediate steps to repeal the three farm laws. He said the new farm laws have triggered widespread resentment among farmers of Punjab and other states. Amarinder added that the agitation had the potential of posing security threats to Punjab and the country.
",politics
UPA had passed 18 Bills: Govt on 'not allowing discussions' claims,"Responding to Opposition's claims that government didn't allow discussions on Bills during the Monsoon Session, eight Union Ministers on Thursday said from 2006-2014, the UPA government passed 18 Bills in haste. Despite disruptions, the second-highest number of Bills were passed in Rajya Sabha since 2014, they added. Notably, both Lok Sabha and Rajya Sabha were adjourned prematurely amid uproar. ",politics
Twitter colluding with BJP in stifling democracy: Priyanka Gandhi,"Congress General Secretary Priyanka Gandhi Vadra on Thursday said that microblogging site Twitter is ""colluding with BJP government in its stifling of democracy"". The Congress leader asked, ""Is Twitter following its own policy for the suspension of Congress leaders' accounts or the Modi government's? Why hadn't it locked the account of SC commission that had tweeted similar photos?""",politics
Not seeking YSRCP alliance as it's anti-Hindu: BJP AP in-charge,"Andhra Pradesh BJP in-charge, Sunil Deodhar said that BJP was not seeking an alliance with YSRCP as the AP government has been following ""anti-people and anti-Hindu"" policies. His response comes over reports that YSRCP was offered ministerial berths in Union Cabinet. YSRCP's V Vijayasai Reddy had earlier said that there were discussions between the two parties on them joining Centre.",politics
RTI activist Saket Gokhale joins Trinamool Congress,"RTI activist Saket Gokhale on Thursday joined the Trinamool Congress in New Delhi. ""The TMC is the second-largest opposition party in Parliament and it has been my obvious choice,"" Gokhale said. ""The way the Chief Minister of (West) Bengal has been fighting on the front foot, that's what I'm looking for,"" he added.",politics
